abbreviation,SEASON,PLAYER
MIA,2021,Udonis Haslem
MIA,2021,Duncan Robinson
MIA,2021,Omer Yurtseven
MIL,2021,Donte DiVincenzo
MIL,2021,George Hill
MIL,2021,Rodney Hood
MIL,2021,Grayson Allen
MIL,2021,Bobby Portis
MIL,2021,Brook Lopez
MIL,2021,Jordan Nwora
MIL,2021,Georgios Kalaitzakis
MIL,2021,Jrue Holiday
MIL,2021,Khris Middleton
MIL,2021,Pat Connaughton
MIL,2021,Giannis Antetokounmpo
MIL,2021,Semi Ojeleye
MIL,2021,Thanasis Antetokounmpo
MIL,2021,Sandro Mamukelashvili
MIL,2021,Justin Robinson
MIN,2021,D'Angelo Russell
MIN,2021,Anthony Edwards
MIN,2021,Jaden McDaniels
MIN,2021,Jaylen Nowell
MIN,2021,Malik Beasley
MIN,2021,Jordan McLaughlin
MIN,2021,Jarred Vanderbilt
MIN,2021,Leandro Bolmaro
MIN,2021,Jake Layman
MIN,2021,Naz Reid
MIN,2021,Taurean Prince
MIN,2021,Josh Okogie
MIN,2021,Patrick Beverley
MIN,2021,McKinley Wright IV
MIN,2021,Nathan Knight
MIN,2021,Karl-Anthony Towns
BKN,2021,Jevon Carter
BKN,2021,Bruce Brown
BKN,2021,Blake Griffin
BKN,2021,David Duke Jr.
BKN,2021,Kevin Durant
BKN,2021,Patty Mills
BKN,2021,Kyrie Irving
BKN,2021,Joe Harris
BKN,2021,James Harden
BKN,2021,Kessler Edwards
BKN,2021,James Johnson
BKN,2021,Day'Ron Sharpe
BKN,2021,LaMarcus Aldridge
BKN,2021,Cam Thomas
BKN,2021,Paul Millsap
BKN,2021,Nic Claxton
BKN,2021,DeAndre' Bembry
NYK,2021,Obi Toppin
NYK,2021,Miles McBride
NYK,2021,Nerlens Noel
NYK,2021,Derrick Rose
NYK,2021,Immanuel Quickley
NYK,2021,Quentin Grimes
NYK,2021,Kemba Walker
NYK,2021,RJ Barrett
NYK,2021,Wayne Selden
NYK,2021,Evan Fournier
NYK,2021,Alec Burks
NYK,2021,Kevin Knox II
NYK,2021,Mitchell Robinson
NYK,2021,Julius Randle
NYK,2021,Jericho Sims
NYK,2021,Taj Gibson
NYK,2021,Luka Samanic
ORL,2021,Jonathan Isaac
ORL,2021,Chuma Okeke
ORL,2021,Jalen Suggs
ORL,2021,Mo Bamba
ORL,2021,Michael Carter-Williams
ORL,2021,R.J. Hampton
ORL,2021,Gary Harris
ORL,2021,Mychal Mulder
ORL,2021,Ignas Brazdeikis
ORL,2021,Markelle Fultz
ORL,2021,Moritz Wagner
ORL,2021,Franz Wagner
ORL,2021,Terrence Ross
ORL,2021,Robin Lopez
ORL,2021,Wendell Carter Jr.
ORL,2021,Cole Anthony
ORL,2021,E'Twaun Moore
IND,2021,T.J. Warren
IND,2021,Chris Duarte
IND,2021,Duane Washington Jr.
IND,2021,Malcolm Brogdon
IND,2021,Justin Holiday
IND,2021,T.J. McConnell
IND,2021,Brad Wanamaker
IND,2021,Domantas Sabonis
IND,2021,Oshae Brissett
IND,2021,Torrey Craig
IND,2021,DeJon Jarreau
IND,2021,Kelan Martin
IND,2021,Caris LeVert
IND,2021,Isaiah Jackson
IND,2021,Jeremy Lamb
IND,2021,Myles Turner
IND,2021,Goga Bitadze
PHI,2021,Tyrese Maxey
PHI,2021,Andre Drummond
PHI,2021,Grant Riller
PHI,2021,Isaiah Joe
PHI,2021,Jaden Springer
PHI,2021,Tobias Harris
PHI,2021,Danny Green
PHI,2021,Shake Milton
PHI,2021,Georges Niang
PHI,2021,Joel Embiid
PHI,2021,Matisse Thybulle
PHI,2021,Charles Bassey
PHI,2021,Ben Simmons
PHI,2021,Furkan Korkmaz
PHI,2021,Seth Curry
PHI,2021,Paul Reed
PHI,2021,Aaron Henry
PHX,2021,Ish Wainright
PHX,2021,JaVale McGee
PHX,2021,Devin Booker
PHX,2021,Elfrid Payton
PHX,2021,Chris Paul
PHX,2021,Frank Kaminsky
PHX,2021,Jalen Smith
PHX,2021,Abdel Nader
PHX,2021,Landry Shamet
PHX,2021,Cameron Payne
PHX,2021,Dario Saric
PHX,2021,Deandre Ayton
PHX,2021,Cameron Johnson
PHX,2021,Mikal Bridges
PHX,2021,Chandler Hutchison
PHX,2021,Jae Crowder
POR,2021,Damian Lillard
POR,2021,Anfernee Simons
POR,2021,Trendon Watford
POR,2021,CJ McCollum
POR,2021,Greg Brown III
POR,2021,Nassir Little
POR,2021,Dennis Smith Jr.
POR,2021,Larry Nance Jr.
POR,2021,CJ Elleby
POR,2021,Tony Snell
POR,2021,Keljin Blevins
POR,2021,Ben McLemore
POR,2021,Norman Powell
POR,2021,Jusuf Nurkic
POR,2021,Robert Covington
POR,2021,Cody Zeller
SAC,2021,Tyrese Haliburton
SAC,2021,Terence Davis
SAC,2021,De'Aaron Fox
SAC,2021,Chimezie Metu
SAC,2021,Maurice Harkless
SAC,2021,Tristan Thompson
SAC,2021,Davion Mitchell
SAC,2021,Robert Woodard II
SAC,2021,Jahmi'us Ramsey
SAC,2021,Richaun Holmes
SAC,2021,Louis King
SAC,2021,Buddy Hield
SAC,2021,Alex Len
SAC,2021,Damian Jones
SAC,2021,Marvin Bagley III
SAC,2021,Harrison Barnes
SAC,2021,Neemias Queta
